# Parity goldens — the cutover's oracle; see goldens_test.go.
# Regenerate: GOOPG_UPDATE_GOLDENS=1 go test ./internal/sqlparser/
# 742 statements
ABORT	RollbackStmt{}
CREATE TABLE t AS EXECUTE p(1, 'x') WITH NO DATA	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="t"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=ExecuteStmt{Name="p",Params=[IntegerConst{Value=1},StringConst{Value="x"}]},WithNoData=true,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE t AS SELECT 1	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="t"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=SelectStmt{With=∅,Distinct=false,DistinctOn=∅,Targets=[ResTarget{Alias="",Expr=IntegerConst{Value=1}}],From=∅,FromExprs=∅,Where=∅,GroupBy=∅,Having=∅,OrderBy=∅,Limit=∅,Offset=∅,WithTies=false,SetOp=∅,Parenthesized=false,SetOpOperand=∅,Locking=∅,ValuesRows=∅,WindowClause=∅,GroupingSets=∅},ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE t AS SELECT 1 WITH DATA	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="t"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=SelectStmt{With=∅,Distinct=false,DistinctOn=∅,Targets=[ResTarget{Alias="",Expr=IntegerConst{Value=1}}],From=∅,FromExprs=∅,Where=∅,GroupBy=∅,Having=∅,OrderBy=∅,Limit=∅,Offset=∅,WithTies=false,SetOp=∅,Parenthesized=false,SetOpOperand=∅,Locking=∅,ValuesRows=∅,WindowClause=∅,GroupingSets=∅},ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE t AS SELECT 1 WITH NO DATA	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="t"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=SelectStmt{With=∅,Distinct=false,DistinctOn=∅,Targets=[ResTarget{Alias="",Expr=IntegerConst{Value=1}}],From=∅,FromExprs=∅,Where=∅,GroupBy=∅,Having=∅,OrderBy=∅,Limit=∅,Offset=∅,WithTies=false,SetOp=∅,Parenthesized=false,SetOpOperand=∅,Locking=∅,ValuesRows=∅,WindowClause=∅,GroupingSets=∅},ExecuteSource=∅,WithNoData=true,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE t OF ty (a WITH OPTIONS NOT NULL, b WITH OPTIONS DEFAULT 1)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="t"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=ObjectName{Schema="",Name="ty"},OfTypeColumnOptions=[ColumnDef{Name="a",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=true,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=true,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="b",Type=ColumnType{Schema="",Name="",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=IntegerConst{Value=1},RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE tableam_tbl_heap2(f1 int) USING heap2	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="tableam_tbl_heap2"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE temptest(col int) ON COMMIT DELETE ROWS	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="temptest"},Columns=[ColumnDef{Name="col",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["col"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit="delete rows"}
CREATE TABLE test_tbl2 OF test_type2	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="test_tbl2"},Columns=∅,PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=ObjectName{Schema="",Name="test_type2"},OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=∅,ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE testschema.foo (i int) TABLESPACE regress_tblspace	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="testschema",Name="foo"},Columns=[ColumnDef{Name="i",Type=ColumnType{Schema="",Name="int",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["i"],ForeignServer="",ForeignOptions=∅,Tablespace="regress_tblspace",OnCommit=""}
CREATE TABLE timetz_tbl (f1 time(2) with time zone)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="timetz_tbl"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="timetz",Args=[2],IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE ts (a text, c text storage plain)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="ts"},Columns=[ColumnDef{Name="a",Type=ColumnType{Schema="",Name="text",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅},ColumnDef{Name="c",Type=ColumnType{Schema="",Name="text",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="plain",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["a","c"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE tt (f1 time with time zone)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="tt"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="timetz",Args=∅,IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE tt (f1 time(2))	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="tt"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="time",Args=[2],IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
CREATE TABLE tt (f1 timestamp(3) with time zone)	CreateTableStmt{IfNotExists=false,Unlogged=false,Temporary=false,Name=ObjectName{Schema="",Name="tt"},Columns=[ColumnDef{Name="f1",Type=ColumnType{Schema="",Name="timestamptz",Args=[3],IsArray=false},NotNull=false,Primary=false,Unique=false,UniqueNullsNotDistinct=false,UniqueConstraintName="",UniqueDeferrable=false,UniqueInitiallyDeferred=false,PrimaryDeferrable=false,PrimaryInitiallyDeferred=false,GeneratedAlways=false,GeneratedExpr="",GeneratedVirtual=false,IdentityColumn=false,IdentityAlways=false,IdentityStart=0,IdentityIncrement=∅,IdentityMin=∅,IdentityMax=∅,IdentityCache=∅,IdentityCycle=false,DefaultExpr=∅,RefTable=ObjectName{Schema="",Name=""},RefColumns=∅,OnDelete=0,OnUpdate=0,OnDeleteSetCols=∅,FKDeferrable=false,FKInitiallyDeferred=false,FKMatchFull=false,FKNotValid=false,FKNotEnforced=false,CheckExpr="",CheckConstraintName="",NotNullNoInherit=false,NotNullConstraintName="",NotNullExplicit=false,CheckNoInherit=false,CheckNotEnforced=false,Compression="",Storage="",Collation="",FDWOptions=∅}],PrimaryKey=∅,With=<map>,WithOIDS=false,PartitionBy=∅,PartitionOf=∅,Inherits=∅,OfType=∅,OfTypeColumnOptions=∅,ColumnAliases=∅,SelectSource=∅,ExecuteSource=∅,WithNoData=false,TableChecks=∅,TableCheckNoInherit=∅,TableCheckNotEnforced=∅,TableNamedChecks=∅,TableUniques=∅,TableUniqueIncludes=∅,TableUniqueNullsNotDistinct=∅,TableUniqueDeferrable=∅,TableUniqueInitiallyDeferred=∅,PrimaryKeyInclude=∅,PrimaryKeyDeferrable=false,PrimaryKeyInitiallyDeferred=false,NamedConstraints=∅,TableExclusions=∅,TableForeignKeys=∅,TableHasNoInheritCheck=false,TableNotNullNames=∅,TableNotNullCols=∅,TableNotNullNoInherit=∅,LikeTables=∅,BodyOrder=["f1"],ForeignServer="",ForeignOptions=∅,Tablespace="",OnCommit=""}
